ISim log file
Running: C:\Users\James\Desktop\iDriveSync\IDrive-Sync\DSD LAB\Lab5\tb_lab5dpath_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -view C:/Users/James/Desktop/iDriveSync/IDrive-Sync/DSD LAB/Lab5/test.wcfg -wdb C:/Users/James/Desktop/iDriveSync/IDrive-Sync/DSD LAB/Lab5/tb_lab5dpath_isim_beh.wdb 
ISim P.68d (signature 0x7708f090)
WARNING: A WEBPACK license was found.
WARNING: Please use Xilinx License Configuration Manager to check out a full ISim license.
WARNING: ISim will run in Lite mode. Please refer to the ISim documentation for more information on the differences between the Lite and the Full version.
This is a Lite version of ISim.
Time resolution is 1 ps
# onerror resume
# run 9000 ns
Simulator is doing circuit initialization process.
Finished circuit initialization process.
          1 PASS, a:         128, b:         256, c:         960, dout:  128

          1 PASS, a:         128, b:         256, c:         960, dout:  128

          1 PASS, a:         128, b:         256, c:         960, dout:  128

          2 PASS, a:         226, b:         902, c:         797, dout:  948

          2 PASS, a:         226, b:         902, c:         797, dout:  948

          2 PASS, a:         226, b:         902, c:         797, dout:  948

          3 PASS, a:         239, b:         897, c:         199, dout:  725

          3 PASS, a:         239, b:         897, c:         199, dout:  725

          3 PASS, a:         239, b:         897, c:         199, dout:  725

          4 PASS, a:         153, b:         252, c:          36, dout:   63

          4 PASS, a:         153, b:         252, c:          36, dout:   63

          4 PASS, a:         153, b:         252, c:          36, dout:   63

          5 PASS, a:         953, b:         255, c:         933, dout:  240

          5 PASS, a:         953, b:         255, c:         933, dout:  240

          5 PASS, a:         953, b:         255, c:         933, dout:  240

          6 PASS, a:         937, b:         952, c:         794, dout:  113

          6 PASS, a:         937, b:         952, c:         794, dout:  113

          6 PASS, a:         937, b:         952, c:         794, dout:  113

          7 PASS, a:         886, b:          49, c:          36, dout:   81

          7 PASS, a:         886, b:          49, c:          36, dout:   81

          7 PASS, a:         886, b:          49, c:          36, dout:   81

          8 PASS, a:         949, b:         769, c:        1013, dout:  907

          8 PASS, a:         949, b:         769, c:        1013, dout:  907

          8 PASS, a:         949, b:         769, c:        1013, dout:  907

          9 PASS, a:         844, b:         857, c:          90, dout:  964

          9 PASS, a:         844, b:         857, c:          90, dout:  964

          9 PASS, a:         844, b:         857, c:          90, dout:  964

         10 PASS, a:         895, b:          56, c:          21, dout:   89

         10 PASS, a:         895, b:          56, c:          21, dout:   89

         10 PASS, a:         895, b:          56, c:          21, dout:   89

         11 PASS, a:         169, b:          92, c:         861, dout:   54

         11 PASS, a:         169, b:          92, c:         861, dout:   54

         11 PASS, a:         169, b:          92, c:         861, dout:   54

         12 PASS, a:         915, b:         150, c:         833, dout:  243

         12 PASS, a:         915, b:         150, c:         833, dout:  243

         12 PASS, a:         915, b:         150, c:         833, dout:  243

         13 PASS, a:         957, b:        1008, c:          97, dout:  999

         13 PASS, a:         957, b:        1008, c:          97, dout:  999

         13 PASS, a:         957, b:        1008, c:          97, dout:  999

         14 PASS, a:          17, b:         813, c:         229, dout:  769

         14 PASS, a:          17, b:         813, c:         229, dout:  769

         14 PASS, a:          17, b:         813, c:         229, dout:  769

         15 PASS, a:         883, b:         784, c:         977, dout:  968

         15 PASS, a:         883, b:         784, c:         977, dout:  968

         15 PASS, a:         883, b:         784, c:         977, dout:  968

         16 PASS, a:         102, b:         166, c:         975, dout:   77

         16 PASS, a:         102, b:         166, c:         975, dout:   77

         16 PASS, a:         102, b:         166, c:         975, dout:   77

         17 PASS, a:         946, b:         249, c:         781, dout:  316

         17 PASS, a:         946, b:         249, c:         781, dout:  316

         17 PASS, a:         946, b:         249, c:         781, dout:  316

         18 PASS, a:         788, b:         142, c:         794, dout:  321

         18 PASS, a:         788, b:         142, c:         794, dout:  321

         18 PASS, a:         788, b:         142, c:         794, dout:  321

         19 PASS, a:         942, b:         253, c:         841, dout:  290

         19 PASS, a:         942, b:         253, c:         841, dout:  290

         19 PASS, a:         942, b:         253, c:         841, dout:  290

